prices,market_caps,total_volumes
"[1545264000000, 99.49155365807758]","[1545264000000, 10336785710.638008]","[1545264000000, 1971206305.0304084]"
"[1545350400000, 114.42918370038834]","[1545350400000, 11865192793.01515]","[1545350400000, 2413040598.1809735]"
"[1545436800000, 107.85318110517642]","[1545436800000, 11228235724.642712]","[1545436800000, 2146527658.029341]"
"[1545523200000, 115.04582181530175]","[1545523200000, 11930676648.438414]","[1545523200000, 1843031240.6757457]"
"[1545609600000, 129.20650341412852]","[1545609600000, 13420144843.953455]","[1545609600000, 3038557582.0165663]"
"[1545696000000, 138.95781833191495]","[1545696000000, 14528137553.21583]","[1545696000000, 4190149358.5431848]"
"[1545782400000, 127.63707252348217]","[1545782400000, 13232839336.104912]","[1545782400000, 2981293112.474187]"
"[1545868800000, 129.51137399263007]","[1545868800000, 13473635804.054379]","[1545868800000, 2263075668.319348]"
"[1545955200000, 114.1013635506553]","[1545955200000, 11924339225.89629]","[1545955200000, 1964406471.6911712]"
"[1546041600000, 134.01993952035144]","[1546041600000, 13935614204.209122]","[1546041600000, 2611941307.2773275]"
"[1546128000000, 138.75426661197633]","[1546128000000, 14676638050.826061]","[1546128000000, 2754610335.045736]"
"[1546214400000, 137.6316929791457]","[1546214400000, 14310166049.405546]","[1546214400000, 2326472259.1586623]"
"[1546300800000, 131.45872465603802]","[1546300800000, 13677300455.463268]","[1546300800000, 1822123555.3749323]"
"[1546387200000, 138.14480220535194]","[1546387200000, 14392313036.760887]","[1546387200000, 1831181165.2598188]"
"[1546473600000, 152.86045271321305]","[1546473600000, 15922214147.12651]","[1546473600000, 2970382678.100767]"
"[1546560000000, 146.7305994341217]","[1546560000000, 15277722818.958939]","[1546560000000, 2147721864.232185]"
"[1546646400000, 153.0565669307744]","[1546646400000, 15940848169.781616]","[1546646400000, 2802750465.265354]"
"[1546732800000, 153.65187149457]","[1546732800000, 16018302447.242657]","[1546732800000, 2751810037.277045]"
"[1546819200000, 154.69930839905126]","[1546819200000, 16115376656.500986]","[1546819200000, 2604841786.5535765]"
"[1546905600000, 149.89869762072908]","[1546905600000, 15614190928.600574]","[1546905600000, 2288173707.0961676]"
"[1546992000000, 148.14786553107623]","[1546992000000, 15452130779.24307]","[1546992000000, 2024950462.4209144]"
"[1547078400000, 148.7388798515161]","[1547078400000, 15516781022.69595]","[1547078400000, 1895694764.7753518]"
"[1547164800000, 126.62475249770274]","[1547164800000, 13229569871.910849]","[1547164800000, 2728309575.30694]"
"[1547251200000, 124.6267970725248]","[1547251200000, 12975985683.226751]","[1547251200000, 2081742756.9099514]"
"[1547337600000, 123.75936261029351]","[1547337600000, 12909473758.745958]","[1547337600000, 1504750867.1261935]"
"[1547424000000, 114.76604584662175]","[1547424000000, 11970884149.01689]","[1547424000000, 1642681383.2372842]"
"[1547510400000, 127.40527329081972]","[1547510400000, 13312835355.826275]","[1547510400000, 2141032095.0550327]"
"[1547596800000, 119.81437324652917]","[1547596800000, 12511274618.87375]","[1547596800000, 2179445232.6582036]"
"[1547683200000, 122.24553850486993]","[1547683200000, 12790017531.356869]","[1547683200000, 2113608536.6644716]"
"[1547769600000, 121.92726666997898]","[1547769600000, 12732832650.46048]","[1547769600000, 1953391667.2246928]"
"[1547856000000, 119.1707391686563]","[1547856000000, 12441677743.686483]","[1547856000000, 1689783955.342064]"
"[1547942400000, 122.92817578942176]","[1547942400000, 12841756778.277468]","[1547942400000, 1843518995.3753238]"
"[1548028800000, 117.6078729013454]","[1548028800000, 12288060353.539341]","[1548028800000, 1968418396.7324762]"
"[1548115200000, 115.82686433322588]","[1548115200000, 12103985769.178844]","[1548115200000, 1719454581.2400157]"
"[1548201600000, 117.81718880676009]","[1548201600000, 12313725371.510918]","[1548201600000, 1765861558.4971473]"
"[1548288000000, 116.41601969858114]","[1548288000000, 12169120160.834082]","[1548288000000, 1599707091.7203567]"
"[1548374400000, 116.24543567436463]","[1548374400000, 12153158417.51909]","[1548374400000, 1605735349.503223]"
"[1548460800000, 115.14990605895021]","[1548460800000, 12040473330.175814]","[1548460800000, 1612015659.44269]"
"[1548547200000, 115.33716687142687]","[1548547200000, 12061900817.036028]","[1548547200000, 1433112570.853001]"
"[1548633600000, 112.51348924314217]","[1548633600000, 11774157608.884583]","[1548633600000, 1753825291.7971783]"
"[1548720000000, 105.35239189764611]","[1548720000000, 11010938397.321363]","[1548720000000, 2332780149.277323]"
"[1548806400000, 104.59784628074063]","[1548806400000, 10955187408.251522]","[1548806400000, 2555950268.3740425]"
"[1548892800000, 108.27309466982854]","[1548892800000, 11329885765.71566]","[1548892800000, 2493952726.425111]"
"[1548979200000, 106.33599581366398]","[1548979200000, 11125649845.205639]","[1548979200000, 1980504563.8608692]"
"[1549065600000, 107.00955827242754]","[1549065600000, 11200980015.417768]","[1549065600000, 2189489172.098924]"
"[1549152000000, 108.77817692653159]","[1549152000000, 11387807226.075611]","[1549152000000, 1859087081.855614]"
"[1549238400000, 107.19999697185268]","[1549238400000, 11229439070.409464]","[1549238400000, 1970373516.398768]"
"[1549324800000, 107.61824539435413]","[1549324800000, 11267355154.846409]","[1549324800000, 1910734433.7085884]"
"[1549411200000, 107.31703853339418]","[1549411200000, 11245947689.319769]","[1549411200000, 1850805735.245364]"
"[1549497600000, 104.62362623241391]","[1549497600000, 10959290841.797949]","[1549497600000, 2028390258.2091599]"
"[1549584000000, 104.26536439234141]","[1549584000000, 10923364917.939417]","[1549584000000, 1809028295.0201623]"
"[1549670400000, 119.33360463375858]","[1549670400000, 12490351594.278725]","[1549670400000, 3337030323.848282]"
"[1549756800000, 119.48955517293045]","[1549756800000, 12520670865.692413]","[1549756800000, 2281124257.2366414]"
"[1549843200000, 124.88963479029995]","[1549843200000, 13087985837.282696]","[1549843200000, 2720772395.722468]"
"[1549929600000, 120.97026174727318]","[1549929600000, 12680390197.310715]","[1549929600000, 2802017940.5234113]"
"[1550016000000, 122.54208894762355]","[1550016000000, 12845310573.797472]","[1550016000000, 2573128709.502421]"
"[1550102400000, 122.09412965721424]","[1550102400000, 12793730452.297075]","[1550102400000, 2635011194.1226845]"
"[1550188800000, 120.59217399552682]","[1550188800000, 12668201016.366795]","[1550188800000, 2745287445.7246704]"
"[1550275200000, 121.57227847601175]","[1550275200000, 12742765419.399738]","[1550275200000, 2374950565.9874945]"
"[1550361600000, 122.93860835926709]","[1550361600000, 12903776985.469166]","[1550361600000, 2286482856.840245]"
"[1550448000000, 133.88146961685993]","[1550448000000, 14098327882.16335]","[1550448000000, 4003447879.040646]"
"[1550534400000, 145.32602670603126]","[1550534400000, 15243928177.166456]","[1550534400000, 5528376735.104817]"
"[1550620800000, 143.65523417640586]","[1550620800000, 15072819715.874296]","[1550620800000, 4958547530.735177]"
"[1550707200000, 148.8684346762975]","[1550707200000, 15611440200.106087]","[1550707200000, 4674193073.576877]"
"[1550793600000, 145.2958232437471]","[1550793600000, 15225793598.680445]","[1550793600000, 4028897436.931248]"
"[1550880000000, 148.04165031619752]","[1550880000000, 15537602228.061953]","[1550880000000, 3866449781.9766116]"
"[1550966400000, 157.67559560191677]","[1550966400000, 16550258314.845478]","[1550966400000, 5041062545.201769]"
"[1551052800000, 134.31602869596247]","[1551052800000, 14284713525.163023]","[1551052800000, 6907323014.255601]"
"[1551139200000, 137.8218665264574]","[1551139200000, 14472468022.306929]","[1551139200000, 5199003327.451232]"
"[1551225600000, 135.99783785109707]","[1551225600000, 14307393197.668602]","[1551225600000, 4013821729.4520674]"
"[1551312000000, 134.84981713392082]","[1551312000000, 14178777736.552544]","[1551312000000, 4639489690.788092]"
"[1551398400000, 135.4906837644075]","[1551398400000, 14233212113.400938]","[1551398400000, 4363574713.481887]"
"[1551484800000, 134.95470877409352]","[1551484800000, 14187938674.158926]","[1551484800000, 3152662372.3438797]"
"[1551571200000, 132.40742658761687]","[1551571200000, 13922485507.386408]","[1551571200000, 3386932026.236029]"
"[1551657600000, 130.5403477406027]","[1551657600000, 13708633834.78851]","[1551657600000, 3658774171.8825684]"
"[1551744000000, 125.6240824924571]","[1551744000000, 13206850625.680403]","[1551744000000, 4360833026.630624]"
"[1551830400000, 136.5502476885833]","[1551830400000, 14358338788.931305]","[1551830400000, 5188731980.705806]"
"[1551916800000, 137.32665152792868]","[1551916800000, 14452766138.766956]","[1551916800000, 4644218449.362553]"
"[1552003200000, 136.78614228385894]","[1552003200000, 14369621725.628769]","[1552003200000, 4578357693.783855]"
"[1552089600000, 133.5416931933968]","[1552089600000, 14031460882.113087]","[1552089600000, 4522056070.475344]"
"[1552176000000, 137.1960003042231]","[1552176000000, 14428962251.829548]","[1552176000000, 4296123041.029174]"
"[1552262400000, 135.62080210154824]","[1552262400000, 14309692872.294827]","[1552262400000, 4499641386.635785]"
"[1552348800000, 132.38753404384025]","[1552348800000, 13919712301.577475]","[1552348800000, 3785480350.370964]"
"[1552435200000, 133.28742563523164]","[1552435200000, 14031839989.199167]","[1552435200000, 4188517679.4991765]"
"[1552521600000, 131.6683444532404]","[1552521600000, 13852442749.06418]","[1552521600000, 3621660451.668175]"
"[1552608000000, 132.14623792639355]","[1552608000000, 13903058196.646849]","[1552608000000, 3916095404.0189743]"
"[1552694400000, 136.4478648131974]","[1552694400000, 14361253091.20203]","[1552694400000, 4756481151.442661]"
"[1552780800000, 141.08804416286097]","[1552780800000, 14864545411.806246]","[1552780800000, 4786242985.088408]"
"[1552867200000, 138.55063028189403]","[1552867200000, 14586546977.699165]","[1552867200000, 3163231174.800602]"
"[1552953600000, 137.65794893090973]","[1552953600000, 14504816696.08246]","[1552953600000, 4436947537.81063]"
"[1553040000000, 138.5225166550466]","[1553040000000, 14588139258.964716]","[1553040000000, 4016707231.683015]"
"[1553126400000, 139.0759731796369]","[1553126400000, 14646332154.545843]","[1553126400000, 4301026829.020336]"
"[1553212800000, 135.05601072736965]","[1553212800000, 14226418657.384989]","[1553212800000, 5329540237.069148]"
"[1553299200000, 136.0995360201361]","[1553299200000, 14349872413.090286]","[1553299200000, 4676895061.111653]"
"[1553385600000, 137.19806866408575]","[1553385600000, 14458951512.820686]","[1553385600000, 4329648785.084198]"
"[1553472000000, 136.05748300079634]","[1553472000000, 14349083379.676003]","[1553472000000, 4828779391.134742]"
"[1553558400000, 133.8175199792062]","[1553558400000, 14114508110.83552]","[1553558400000, 5128191497.587813]"
"[1553644800000, 134.02990438257248]","[1553644800000, 14127347666.266151]","[1553644800000, 6365187624.764251]"
"[1553731200000, 139.63660664431762]","[1553731200000, 14728909325.816017]","[1553731200000, 6058290711.3394575]"
"[1553817600000, 137.81198852309657]","[1553817600000, 14528588960.681654]","[1553817600000, 6421741403.9849205]"
"[1553904000000, 143.14644309796884]","[1553904000000, 15091573435.250275]","[1553904000000, 6309182468.745683]"
"[1553990400000, 142.28965262894044]","[1553990400000, 15005382590.00451]","[1553990400000, 6431145135.476545]"
"[1554076800000, 141.586389044902]","[1554076800000, 14930496588.280657]","[1554076800000, 5681255417.619743]"
"[1554163200000, 141.51455520152766]","[1554163200000, 14928001079.066639]","[1554163200000, 5806385520.250954]"
"[1554249600000, 164.05054289558294]","[1554249600000, 17376379496.109585]","[1554249600000, 11972928895.801353]"
"[1554336000000, 160.43283831978377]","[1554336000000, 17073994347.06151]","[1554336000000, 14345018962.49493]"
"[1554422400000, 157.41222580794496]","[1554422400000, 16631238666.397068]","[1554422400000, 18960578265.68538]"
"[1554508800000, 165.1385234713877]","[1554508800000, 17415767438.96335]","[1554508800000, 8154465149.927939]"
"[1554595200000, 165.32515186458005]","[1554595200000, 17431813826.27367]","[1554595200000, 8041146224.6182995]"
"[1554681600000, 174.09052297795662]","[1554681600000, 18330615695.15078]","[1554681600000, 8774486908.148108]"
"[1554768000000, 180.01192355336678]","[1554768000000, 19005528101.207676]","[1554768000000, 9174797057.457947]"
"[1554854400000, 175.2941224274854]","[1554854400000, 18514941900.58221]","[1554854400000, 7853653932.961174]"
"[1554940800000, 177.3253178087243]","[1554940800000, 18738487750.9329]","[1554940800000, 8535409687.957658]"
"[1555027200000, 165.03710682659573]","[1555027200000, 17442825237.19966]","[1555027200000, 9492297742.469435]"
"[1555113600000, 164.57194837218958]","[1555113600000, 17386399385.122326]","[1555113600000, 6864550131.632152]"
"[1555200000000, 163.97160033492332]","[1555200000000, 17327865226.321712]","[1555200000000, 4895342267.034281]"
"[1555286400000, 167.61800117879454]","[1555286400000, 17700075886.552334]","[1555286400000, 5453899413.191777]"
"[1555372800000, 160.53249078494966]","[1555372800000, 16995977336.81406]","[1555372800000, 6208683988.248793]"
"[1555459200000, 166.4845378681717]","[1555459200000, 17609171351.003345]","[1555459200000, 5341068833.609714]"
"[1555545600000, 166.3272646030099]","[1555545600000, 17588516336.63911]","[1555545600000, 5326967582.034817]"
"[1555632000000, 173.41362781077277]","[1555632000000, 18314771488.822433]","[1555632000000, 7052905652.127466]"
"[1555718400000, 173.2282621688014]","[1555718400000, 18342659764.36273]","[1555718400000, 7221388008.444495]"
"[1555804800000, 173.16628767058037]","[1555804800000, 18306343766.281067]","[1555804800000, 6156525100.7694435]"
"[1555891200000, 169.98788930945395]","[1555891200000, 17972610400.17828]","[1555891200000, 6664047714.540679]"
"[1555977600000, 171.0434707895899]","[1555977600000, 18087557354.45475]","[1555977600000, 6402115847.390519]"
"[1556064000000, 170.91296418483168]","[1556064000000, 18058590378.524723]","[1556064000000, 7113521465.307921]"
"[1556150400000, 165.66966005027155]","[1556150400000, 17513743539.566673]","[1556150400000, 8048012710.936328]"
"[1556236800000, 153.9304406219976]","[1556236800000, 16278218288.123909]","[1556236800000, 7178205516.338611]"
"[1556323200000, 157.3757012457437]","[1556323200000, 16557928986.13092]","[1556323200000, 7692660385.390277]"
"[1556409600000, 158.28919434200932]","[1556409600000, 16729345051.253407]","[1556409600000, 5979883531.17244]"
"[1556496000000, 156.5951891487867]","[1556496000000, 16559733009.547436]","[1556496000000, 5768664295.690624]"
"[1556582400000, 154.08028243009934]","[1556582400000, 16314567668.36402]","[1556582400000, 6411778889.018952]"
"[1556668800000, 160.74469184721738]","[1556668800000, 17017994744.389439]","[1556668800000, 7295538037.156365]"
"[1556755200000, 159.48931440238658]","[1556755200000, 16881275146.405905]","[1556755200000, 5827474260.897809]"
"[1556841600000, 160.95718796104512]","[1556841600000, 17057211134.916904]","[1556841600000, 6382424498.642877]"
"[1556928000000, 166.63211526803485]","[1556928000000, 17632782365.111347]","[1556928000000, 7370814310.015348]"
"[1557014400000, 162.83631690744346]","[1557014400000, 17251245248.674953]","[1557014400000, 7462922637.386197]"
"[1557100800000, 162.37013497277283]","[1557100800000, 17213549032.231903]","[1557100800000, 6585100748.204202]"
"[1557187200000, 172.8283284518378]","[1557187200000, 18328559385.30721]","[1557187200000, 8296752441.893426]"
"[1557273600000, 170.09589748059332]","[1557273600000, 18164993797.052807]","[1557273600000, 9534335324.779873]"
"[1557360000000, 170.11063311538186]","[1557360000000, 18006362667.522446]","[1557360000000, 6667762034.758085]"
"[1557446400000, 170.57549417946805]","[1557446400000, 18116042476.197884]","[1557446400000, 6902719143.315466]"
"[1557532800000, 172.68209089135948]","[1557532800000, 18289505929.628407]","[1557532800000, 8161017266.9209385]"
"[1557619200000, 196.6901677286205]","[1557619200000, 21127886686.212933]","[1557619200000, 15122302157.846966]"
"[1557705600000, 187.2720183708742]","[1557705600000, 19825564759.39219]","[1557705600000, 11582482850.21803]"
"[1557792000000, 196.0761130134244]","[1557792000000, 20785018542.369095]","[1557792000000, 11346705276.931213]"
"[1557878400000, 218.28460968764938]","[1557878400000, 23191421813.968952]","[1557878400000, 13905655019.126186]"
"[1557964800000, 248.74500426984366]","[1557964800000, 26321593931.32679]","[1557964800000, 13672541332.505766]"
"[1558051200000, 264.90012138907406]","[1558051200000, 27977152978.337208]","[1558051200000, 18005081606.855213]"
"[1558137600000, 243.57049917993308]","[1558137600000, 25882741084.84837]","[1558137600000, 16370442950.862896]"
"[1558224000000, 235.32720134101993]","[1558224000000, 24992104363.05817]","[1558224000000, 9809558171.875607]"
"[1558310400000, 260.59698403060327]","[1558310400000, 27696392705.66153]","[1558310400000, 10660302136.0779]"
"[1558396800000, 251.9614994995826]","[1558396800000, 26710731424.55328]","[1558396800000, 11264583865.095984]"
"[1558483200000, 256.0830401834705]","[1558483200000, 27208222408.161823]","[1558483200000, 10173591139.714605]"
"[1558569600000, 244.54946301361036]","[1558569600000, 25986179169.035725]","[1558569600000, 9779773115.360765]"
"[1558656000000, 244.6460957973966]","[1558656000000, 26015066752.046535]","[1558656000000, 11366080280.52015]"
"[1558742400000, 248.54526290535333]","[1558742400000, 26403380130.094868]","[1558742400000, 9874907867.701994]"
"[1558828800000, 250.82036469745617]","[1558828800000, 26638407046.872597]","[1558828800000, 9323604229.835455]"
"[1558915200000, 266.12218207843597]","[1558915200000, 28248518480.178585]","[1558915200000, 11071430353.366852]"
"[1559001600000, 273.40508817754096]","[1559001600000, 29061104048.029087]","[1559001600000, 12655030646.34605]"
"[1559088000000, 271.227867157993]","[1559088000000, 28849462681.914993]","[1559088000000, 9175086732.606298]"
"[1559174400000, 268.7857564563058]","[1559174400000, 28545915354.884007]","[1559174400000, 10947486779.437864]"
"[1559260800000, 255.37736314606394]","[1559260800000, 27163085813.469257]","[1559260800000, 13789629797.840866]"
"[1559347200000, 268.12603920482644]","[1559347200000, 28499454382.30483]","[1559347200000, 13065602415.97646]"
"[1559433600000, 264.72732428744166]","[1559433600000, 28173804952.878986]","[1559433600000, 9939944521.868128]"
"[1559520000000, 269.9388294795906]","[1559520000000, 28695353819.42512]","[1559520000000, 9394858671.397644]"
"[1559606400000, 251.75257532903564]","[1559606400000, 26744262117.273018]","[1559606400000, 9490495448.140297]"
"[1559692800000, 240.23943365820054]","[1559692800000, 25505094563.584915]","[1559692800000, 9485736882.825798]"
"[1559779200000, 246.82656909017393]","[1559779200000, 26217390413.075325]","[1559779200000, 9425766068.31484]"
"[1559865600000, 249.9679117723965]","[1559865600000, 26581663259.716743]","[1559865600000, 8404331947.2354]"
"[1559952000000, 250.63689323005363]","[1559952000000, 26701545587.49556]","[1559952000000, 8150833842.114468]"
"[1560038400000, 244.62980571926562]","[1560038400000, 26034305601.98276]","[1560038400000, 7354875776.242826]"
"[1560124800000, 232.04158416760484]","[1560124800000, 24672828577.74306]","[1560124800000, 8029562832.321171]"
"[1560211200000, 247.25227622797598]","[1560211200000, 26297325019.25777]","[1560211200000, 8199127073.858642]"
"[1560297600000, 245.08937853941526]","[1560297600000, 26090193634.664776]","[1560297600000, 8182713237.348147]"
"[1560384000000, 260.5666340627198]","[1560384000000, 27568882097.168007]","[1560384000000, 12143678886.284647]"
"[1560470400000, 255.1204266417473]","[1560470400000, 27144233034.692554]","[1560470400000, 8992183283.907227]"
"[1560556800000, 263.92853843827874]","[1560556800000, 28177766390.07106]","[1560556800000, 9249836453.371191]"
"[1560643200000, 268.1121928964469]","[1560643200000, 28555069614.98048]","[1560643200000, 8326314916.480807]"
"[1560729600000, 269.0716935274996]","[1560729600000, 28730739929.02647]","[1560729600000, 11214016847.926468]"
"[1560816000000, 273.12368845247914]","[1560816000000, 29075955330.534096]","[1560816000000, 10113175117.058073]"
"[1560902400000, 264.78793107969506]","[1560902400000, 28216787936.482452]","[1560902400000, 9119385783.21149]"
"[1560988800000, 269.1527997781388]","[1560988800000, 28662304286.474934]","[1560988800000, 8141550514.028044]"
"[1561075200000, 272.334690986303]","[1561075200000, 29062957235.75888]","[1561075200000, 9013711196.951782]"
"[1561161600000, 294.47562296593696]","[1561161600000, 31419443062.588604]","[1561161600000, 13984421402.12714]"
"[1561248000000, 310.65499867231955]","[1561248000000, 33084459417.56612]","[1561248000000, 14958216407.156822]"
"[1561334400000, 307.9472102635873]","[1561334400000, 32863219243.396492]","[1561334400000, 11379261835.846235]"
"[1561420800000, 311.06822902414945]","[1561420800000, 33154422291.905163]","[1561420800000, 10801735316.460266]"
"[1561507200000, 318.635944657736]","[1561507200000, 33909642984.874393]","[1561507200000, 11894108469.494308]"
"[1561593600000, 337.3409578098138]","[1561593600000, 36033928259.050896]","[1561593600000, 20783128904.669895]"
"[1561680000000, 295.8416528876357]","[1561680000000, 31578278682.118446]","[1561680000000, 17565136833.06944]"
"[1561766400000, 309.949031472406]","[1561766400000, 33044592666.437965]","[1561766400000, 13481294400.562168]"
"[1561852800000, 321.43279903776084]","[1561852800000, 34306768610.59132]","[1561852800000, 15410762009.028484]"
"[1561939200000, 292.83887601724456]","[1561939200000, 31176379854.59102]","[1561939200000, 14452227264.203045]"
"[1562025600000, 295.2558980709613]","[1562025600000, 31498970007.217487]","[1562025600000, 14541502314.74893]"
"[1562112000000, 290.9596721071729]","[1562112000000, 30959350149.490692]","[1562112000000, 13634093714.668394]"
"[1562198400000, 304.1705424011823]","[1562198400000, 32463482348.950417]","[1562198400000, 13852646285.058842]"
"[1562284800000, 285.2194708797813]","[1562284800000, 30439535096.682316]","[1562284800000, 11865088600.655111]"
"[1562371200000, 287.98591058443674]","[1562371200000, 30740130568.29118]","[1562371200000, 12482686164.985281]"
"[1562457600000, 289.57713834106636]","[1562457600000, 30937887121.98499]","[1562457600000, 11073979598.076387]"
"[1562544000000, 305.33625290070216]","[1562544000000, 32585483973.188705]","[1562544000000, 9431071377.576225]"
"[1562630400000, 312.4663688290414]","[1562630400000, 33325496553.950596]","[1562630400000, 11412190952.131702]"
"[1562716800000, 307.7796837520068]","[1562716800000, 32850299631.681156]","[1562716800000, 12539512334.617245]"
"[1562803200000, 290.009967157574]","[1562803200000, 30956973577.480614]","[1562803200000, 14363666681.915071]"
"[1562889600000, 268.6352130477999]","[1562889600000, 28636795382.556053]","[1562889600000, 11259727245.112816]"
"[1562976000000, 275.80920843487644]","[1562976000000, 29477046976.610035]","[1562976000000, 9759415139.820307]"
"[1563062400000, 270.314761247692]","[1563062400000, 28810921295.770554]","[1563062400000, 8942739616.455101]"
"[1563148800000, 227.12207268042678]","[1563148800000, 24246464997.184734]","[1563148800000, 10112411751.87944]"
"[1563235200000, 230.18019411198864]","[1563235200000, 24761194859.108467]","[1563235200000, 12728221879.918568]"
"[1563321600000, 199.94052185387875]","[1563321600000, 21404242629.096542]","[1563321600000, 11546792446.85422]"
"[1563408000000, 210.83853712737297]","[1563408000000, 22555777896.46238]","[1563408000000, 11495306974.325901]"
"[1563494400000, 226.3035342868679]","[1563494400000, 24469199432.985012]","[1563494400000, 12224826620.798044]"
"[1563580800000, 221.11374095039795]","[1563580800000, 23638366539.887043]","[1563580800000, 9394172336.260527]"
"[1563667200000, 228.96480408491627]","[1563667200000, 24370718738.349724]","[1563667200000, 9443236308.126741]"
"[1563753600000, 226.15340772656594]","[1563753600000, 24197616725.96213]","[1563753600000, 8668234008.782793]"
"[1563840000000, 217.65256165832335]","[1563840000000, 23300408113.461063]","[1563840000000, 9159417328.812357]"
"[1563926400000, 213.5021516080946]","[1563926400000, 22833250656.49764]","[1563926400000, 8343544802.577731]"
"[1564012800000, 217.19777774847861]","[1564012800000, 23289112074.867935]","[1564012800000, 8036309076.5856]"
"[1564099200000, 219.48779097276912]","[1564099200000, 23512755315.51417]","[1564099200000, 8431628740.248658]"
"[1564185600000, 219.58243262777626]","[1564185600000, 23510568057.420704]","[1564185600000, 6261416237.370375]"
"[1564272000000, 206.531772895918]","[1564272000000, 22113111388.41074]","[1564272000000, 6935857584.275074]"
"[1564358400000, 211.229753661743]","[1564358400000, 22676505895.192112]","[1564358400000, 6820635279.878914]"
"[1564444800000, 210.82351650905207]","[1564444800000, 22532332968.39789]","[1564444800000, 7155796188.164937]"
"[1564531200000, 209.64626074112806]","[1564531200000, 22459680355.763912]","[1564531200000, 6861118022.849301]"
"[1564617600000, 218.61308553620958]","[1564617600000, 23395542240.652126]","[1564617600000, 7854507842.961148]"
"[1564704000000, 216.630420657716]","[1564704000000, 23212512549.342392]","[1564704000000, 7106350020.545052]"
"[1564790400000, 217.79546207706508]","[1564790400000, 23340842011.61525]","[1564790400000, 7476612908.300348]"
"[1564876800000, 221.41611875255478]","[1564876800000, 23728815859.720734]","[1564876800000, 7118505874.499466]"
"[1564963200000, 221.98815294300547]","[1564963200000, 23801827044.905396]","[1564963200000, 7801234062.836402]"
"[1565049600000, 232.82368350463972]","[1565049600000, 24942936105.273483]","[1565049600000, 10565615079.886549]"
"[1565136000000, 227.02071107575]","[1565136000000, 24246876267.774906]","[1565136000000, 9971872218.817013]"
"[1565222400000, 226.4011931773696]","[1565222400000, 24246033283.292213]","[1565222400000, 9705696057.326073]"
"[1565308800000, 221.99588620712112]","[1565308800000, 23748361769.302696]","[1565308800000, 8972857706.734287]"
"[1565395200000, 210.15361895773407]","[1565395200000, 22496236375.06767]","[1565395200000, 9017297468.618519]"
"[1565481600000, 206.50462546838185]","[1565481600000, 22164896130.494186]","[1565481600000, 7866305403.719613]"
"[1565568000000, 216.4855805517722]","[1565568000000, 23199201016.471577]","[1565568000000, 8817555226.301624]"
"[1565654400000, 211.11314126304725]","[1565654400000, 22642683362.924953]","[1565654400000, 6858803450.515639]"
"[1565740800000, 209.26573714761406]","[1565740800000, 22436740682.994324]","[1565740800000, 7468627796.213287]"
"[1565827200000, 185.65530058955875]","[1565827200000, 19905411203.78774]","[1565827200000, 9066370572.253965]"
"[1565913600000, 188.15278116773473]","[1565913600000, 20166571469.133984]","[1565913600000, 9569868633.162851]"
"[1566000000000, 185.15324355177958]","[1566000000000, 19875538705.637814]","[1566000000000, 9104078191.86573]"
"[1566086400000, 185.76004109383433]","[1566086400000, 19947175522.901073]","[1566086400000, 7074381392.731569]"
"[1566172800000, 194.35736761658467]","[1566172800000, 20870523158.477386]","[1566172800000, 7608103574.120334]"
"[1566259200000, 202.95975075968417]","[1566259200000, 21805354686.68139]","[1566259200000, 7984979710.387964]"
"[1566345600000, 196.27274728566928]","[1566345600000, 21099092813.884506]","[1566345600000, 7427661565.776037]"
"[1566432000000, 187.01618910896025]","[1566432000000, 20090814029.40346]","[1566432000000, 7533577003.439183]"
"[1566518400000, 191.52119596772542]","[1566518400000, 20579733353.237606]","[1566518400000, 8373678956.808694]"
"[1566604800000, 194.2093873568753]","[1566604800000, 20886288389.848602]","[1566604800000, 8310335766.427433]"
"[1566691200000, 190.55575089343063]","[1566691200000, 20497351303.834663]","[1566691200000, 6816227733.539867]"
"[1566777600000, 186.32236897942659]","[1566777600000, 20024597154.008755]","[1566777600000, 6925363690.298179]"
"[1566864000000, 188.37725745413954]","[1566864000000, 20251623745.88952]","[1566864000000, 7808973221.715419]"
"[1566950400000, 186.97068487781738]","[1566950400000, 20099329728.45356]","[1566950400000, 6715792817.800851]"
"[1567036800000, 173.02703573027782]","[1567036800000, 18598885730.967613]","[1567036800000, 6630138918.5056305]"
"[1567123200000, 168.79916502828434]","[1567123200000, 18182244936.177788]","[1567123200000, 7553876741.007874]"
"[1567209600000, 168.6708883739598]","[1567209600000, 18137815999.552658]","[1567209600000, 6149887965.938229]"
"[1567296000000, 172.07296929356409]","[1567296000000, 18507223778.142094]","[1567296000000, 6422265680.054329]"
"[1567382400000, 170.72754514461607]","[1567382400000, 18351207184.536457]","[1567382400000, 5582323205.083545]"
"[1567468800000, 177.71647895327314]","[1567468800000, 19113080684.062847]","[1567468800000, 6929999813.24363]"
"[1567555200000, 178.82647784328285]","[1567555200000, 19324838795.229195]","[1567555200000, 6839270834.390837]"
"[1567641600000, 174.77627554812665]","[1567641600000, 18790062457.39357]","[1567641600000, 6753228074.432234]"
"[1567728000000, 174.1938100520476]","[1567728000000, 18756294625.6701]","[1567728000000, 6972203243.611649]"
"[1567814400000, 169.42286694793444]","[1567814400000, 18244685096.248436]","[1567814400000, 7990465595.274032]"
"[1567900800000, 177.85258889110943]","[1567900800000, 19145726416.543644]","[1567900800000, 7289035615.537996]"
