prices,market_caps,total_volumes
"[1508025600000, 335.3913549863649]","[1508025600000, 31903683068.492874]","[1508025600000, 513925811.79312485]"
"[1508112000000, 331.967214731027]","[1508112000000, 31583306698.85391]","[1508112000000, 536987705.5520873]"
"[1508198400000, 317.898212514702]","[1508198400000, 30251186909.138367]","[1508198400000, 368660409.98234016]"
"[1508284800000, 314.456554240651]","[1508284800000, 29930081747.853603]","[1508284800000, 459286354.2531358]"
"[1508371200000, 308.4746839282341]","[1508371200000, 29366946306.63264]","[1508371200000, 251750069.63289016]"
"[1508457600000, 302.35649692557024]","[1508457600000, 28790749976.831596]","[1508457600000, 270984512.97597694]"
"[1508544000000, 300.69384596228315]","[1508544000000, 28638437008.879925]","[1508544000000, 291385148.2978586]"
"[1508630400000, 295.4882479105146]","[1508630400000, 28148745034.196087]","[1508630400000, 227830530.53531405]"
"[1508716800000, 289.4140251237576]","[1508716800000, 27575920805.165585]","[1508716800000, 357572834.9115806]"
"[1508803200000, 298.75573430773346]","[1508803200000, 28472255904.29292]","[1508803200000, 522634263.28484994]"
"[1508889600000, 298.4839668215046]","[1508889600000, 28452391049.617855]","[1508889600000, 224745395.63136017]"
"[1508976000000, 295.7078546189935]","[1508976000000, 28192911056.673782]","[1508976000000, 175211825.16558704]"
"[1509062400000, 297.9291296930045]","[1509062400000, 28411617292.93479]","[1509062400000, 165062612.7639997]"
"[1509148800000, 296.4649529071602]","[1509148800000, 28278036785.292797]","[1509148800000, 178675171.42583302]"
"[1509235200000, 303.74113040048763]","[1509235200000, 28978234226.357674]","[1509235200000, 400151389.4858402]"
"[1509321600000, 306.2494615338919]","[1509321600000, 29223725935.84833]","[1509321600000, 245646777.54787138]"
"[1509408000000, 303.54211702851427]","[1509408000000, 28971625622.98315]","[1509408000000, 275058601.9442181]"
"[1509494400000, 292.33053872865435]","[1509494400000, 27907457658.55725]","[1509494400000, 343876003.8559511]"
"[1509580800000, 287.0696687458828]","[1509580800000, 27411044537.063046]","[1509580800000, 727168619.8327091]"
"[1509667200000, 305.8432726789198]","[1509667200000, 29209850779.092915]","[1509667200000, 493531953.8114265]"
"[1509753600000, 299.9549103522952]","[1509753600000, 28653533860.136066]","[1509753600000, 317726072.07408786]"
"[1509840000000, 297.5173231052644]","[1509840000000, 28426818646.719738]","[1509840000000, 250477635.77464697]"
"[1509926400000, 301.370794552855]","[1509926400000, 28801102723.032696]","[1509926400000, 472946830.30819535]"
"[1510012800000, 295.23511338265723]","[1510012800000, 28220768686.35795]","[1510012800000, 415882643.8192555]"
"[1510099200000, 308.9339866357258]","[1510099200000, 29536454012.04308]","[1510099200000, 755752328.1239891]"
"[1510185600000, 322.32952048358885]","[1510185600000, 30823742534.2921]","[1510185600000, 691815366.2495632]"
"[1510272000000, 301.3549333527746]","[1510272000000, 28824163917.314198]","[1510272000000, 650505791.3247348]"
"[1510358400000, 316.2583419604271]","[1510358400000, 30256030132.159668]","[1510358400000, 618676053.5502169]"
"[1510444800000, 314.1661277072687]","[1510444800000, 30062176933.46014]","[1510444800000, 1172943695.0944433]"
"[1510531200000, 315.34395637188766]","[1510531200000, 30181430682.324654]","[1510531200000, 783366133.855764]"
"[1510617600000, 338.937627406501]","[1510617600000, 32446360785.0723]","[1510617600000, 507718197.434228]"
"[1510704000000, 334.286932546348]","[1510704000000, 32007998528.5458]","[1510704000000, 518053273.608587]"
"[1510790400000, 330.021315646911]","[1510790400000, 31606240405.8994]","[1510790400000, 540577805.468288]"
"[1510876800000, 333.351255037181]","[1510876800000, 31931961399.8328]","[1510876800000, 408873409.223705]"
"[1510963200000, 348.74721545667]","[1510963200000, 33413835153.7437]","[1510963200000, 437969175.189351]"
"[1511049600000, 353.43572964676]","[1511049600000, 33870265876.0073]","[1511049600000, 892315491.355752]"
"[1511136000000, 365.786815977961]","[1511136000000, 35061352161.7675]","[1511136000000, 511630930.906117]"
"[1511222400000, 361.055822571048]","[1511222400000, 34615252499.3341]","[1511222400000, 667087478.419292]"
"[1511308800000, 379.409057274538]","[1511308800000, 36382569909.3727]","[1511308800000, 502690893.802197]"
"[1511395200000, 412.557611501513]","[1511395200000, 39569679447.7058]","[1511395200000, 1357607759.02526]"
"[1511481600000, 475.002014978137]","[1511481600000, 45568623853.9817]","[1511481600000, 1710984791.93773]"
"[1511568000000, 467.446390045639]","[1511568000000, 44853255083.9293]","[1511568000000, 1062451148.98556]"
"[1511654400000, 468.998099373249]","[1511654400000, 45011721609.851]","[1511654400000, 848847109.547722]"
"[1511740800000, 484.362624150733]","[1511740800000, 46496118377.9175]","[1511740800000, 982703877.999528]"
"[1511827200000, 474.182894748523]","[1511827200000, 45528555887.0189]","[1511827200000, 640921145.689493]"
"[1511913600000, 428.345443336342]","[1511913600000, 41136242461.6215]","[1511913600000, 1864835257.85043]"
"[1512000000000, 454.160981519821]","[1512000000000, 43624717838.8218]","[1512000000000, 1302713009.05289]"
"[1512086400000, 469.863479570669]","[1512086400000, 45142640782.4465]","[1512086400000, 731926955.703011]"
"[1512172800000, 469.857050536754]","[1512172800000, 45151510929.4977]","[1512172800000, 571377802.810273]"
"[1512259200000, 461.880481908051]","[1512259200000, 44394413397.1167]","[1512259200000, 513723192.525671]"
"[1512345600000, 472.252735495896]","[1512345600000, 45400977761.2147]","[1512345600000, 559902818.597381]"
"[1512432000000, 467.016662982671]","[1512432000000, 44907252844.2554]","[1512432000000, 590010796.38345]"
"[1512518400000, 448.328222164605]","[1512518400000, 43118585011.2992]","[1512518400000, 5911434.14179457]"
"[1512604800000, 451.825581860168]","[1512604800000, 43465282557.5874]","[1512604800000, 968306459.942749]"
"[1512691200000, 467.881662612901]","[1512691200000, 45019411221.6764]","[1512691200000, 1578944197.85945]"
"[1512777600000, 482.035518858509]","[1512777600000, 46391200044.4373]","[1512777600000, 1109058208.5207]"
"[1512864000000, 446.691058078548]","[1512864000000, 42998769813.0645]","[1512864000000, 900203443.334746]"
"[1512950400000, 509.000876237775]","[1512950400000, 49007073662.9809]","[1512950400000, 1035160071.24411]"
"[1513036800000, 661.841332287634]","[1513036800000, 63736319679.7109]","[1513036800000, 3691983511.74634]"
"[1513123200000, 709.883193572531]","[1513123200000, 68377310760.8715]","[1513123200000, 2717113879.86409]"
"[1513209600000, 704.621843737326]","[1513209600000, 67885165267.6573]","[1513209600000, 2551109082.71176]"
"[1513296000000, 693.09706413276]","[1513296000000, 66789398252.0671]","[1513296000000, 1942292719.83027]"
